en,ja,level
when,いつ、する時、いつ,2
where,どこ、する所、どこ,2
whether,（～）かどうか,2
which,どちらの、どの,2
while,しばらく、間に,2
who,誰,2
whole,全体の、全体,2
why,なぜ、理由,2
will,（～）だろう、意志,2
wish,願う、望み,2
with,（～）と,2
without,（～）なしに,2
wonder,不思議に思う、不思議,2
worry,心配する、心肺,2
worse,より悪い、より悪く、より悪いこと,2
write,書く,2
wrong,誤った、悪、誤って、不当に扱う,2
yet,まだ、けれども,2
TRUE,真実の、正しくする,2
a,ひとつの,1
all,すべての,1
and,（～）と,1
apple,りんご,1
art,美術,1
baby,赤ちゃん,1
back,背中／後ろの,1
bad,悪い,1
bag,袋,1
ball,球,1
bank,銀行,1
bar,酒場,1
basket,かご,1
bath,入浴,1
battle,戦い,1
be,いる、ある,1
bed,ベット,1
beer,ビール,1
bell,ベル,1
big,大きい,1
bird,鳥,1
black,黒い,1
blanket,毛布,1
blue,青い,1
board,板,1
boat,船,1
body,体,1
bone,骨,1
book,本,1
boss,上司,1
bottle,瓶,1
bottom,底,1
box,箱,1
boy,男の子,1
brain,脳,1
brake,ブレーキ,1
branch,技,1
bread,パン,1
bridge,橋,1
brother,兄弟,1
brown,茶色,1
business,職業、商売,1
busy,忙しい,1
but,しかし,1
butter,バター,1
button,ボタン,1
buy,買う,1
call,呼ぶ,1
camera,カメラ,1
camp,キャンプ,1
campaign,キャンペーン,1
car,車,1
card,カード,1
cat,猫,1
center,中心,1
chain,鎖,1
chair,いす,1
champion,チャンピオン,1
chance,機会,1
channel,チャンネル,1
child,子供,1
clock,時計,1
day,日,1
dinner,夕食,1
do,する,1
doctor,医者、治療する,1
dog,犬,1
door,戸,1
down,下に、負かす,1
ear,耳,1
earth,地球,1
egg,卵,1
end,終わり、終わる,1
exit,出口、出て行く,1
eye,目,1
face,顔,1
family,家族,1
father,父親,1
finger,指、指でさわる,1
fish,魚、魚を釣る,1
flower,花、開花する,1
fly,飛ぶ,1
friend,友達,1
girl,女の子,1
glass,ガラス,1
go,行く,1
goal,目的,1
god,神,1
gold,金,1
good,よい、よいこと,1
gray,灰色,1
green,緑,1
hand,手,1
hat,帽子,1
head,頭,1
home,家、家の,1
hot,暑い,1
hour,時間,1
house,家,1
I,私,1
ice,氷、凍らす,1
idea,発想,1
in,（～の）中に[へ],1
it,それ,1
key,鍵,1
kick,蹴る、蹴る事,1
king,王,1
kitchen,台所,1
knife,ナイフ、ナイフで切る,1
large,大きい,1
last,最後の、最後,1
left,左,1
letter,手紙,1
level,程度,1
life,命,1
light,光,1
line,線,1
love,愛、愛する,1
magic,魔法、魔法の,1
mail,郵便、郵送する,1
man,男,1
map,地図、地図をつくる,1
me,私に,1
meal,食事,1
milk,牛乳,1
money,カネ,1
month,（暦の）月,1
moon,月,1
morning,朝,1
mother,母親,1
mountain,山,1
mouth,口,1
my,私の,1
name,名前、名づける,1
new,新しい,1
news,ニュース、消息,1
next,次の,1
nice,よい、愉快な,1
night,夜,1
no,いいえ,1
north,北、北の、北へ,1
nose,鼻、かぐ,1
note,ノート、メモを取る,1
now,今,1
old,古い,1
on,（～の）上,1
open,開く、野外,1
or,あるいは,1
page,ページ、ページ付けする,1
paper,紙,1
parent,親,1
pen,ペン,1
pencil,鉛筆,1
people,人々,1
percent,パーセント,1
pig,豚,1
pocket,ポケット、ポケットにいれる,1
point,点、指す,1
potato,ジャガイモ,1
pound,ポンド,1
power,力、動力を提供する,1
rice,コメ,1
rich,金持ちの,1
right,右・権利、正しい、正しく、立て直す,1
rock,岩,1
rocket,ロケット、急上昇する,1
room,部屋、泊まる,1
run,走る、走ること,1
sea,海,1
see,見る,1
send,送る,1
shop,店、買い物する,1
short,短い、短く、要点,1
sister,姉・妹,1
sit,座る,1
sky,空,1
sleep,眠る、睡眠,1
slow,遅い、遅く、遅くなる,1
small,小さい、小さく、細かい部分,1
snow,雪、雪が降る,1
song,歌,1
stone,石、石を投げつける,1
stop,停止する、停止,1
store,店、蓄える,1
sugar,砂糖、砂糖をいれる,1
summer,夏,1
sun,太陽、日に当てる,1
table,机、表にする,1
tea,茶,1
time,時間、時刻を決める・時間を計る,1
today,今日は、今日,1
tomorrow,明日は、明日,1
town,町,1
tree,木、木に追い上げる,1
wall,壁、壁で囲む,1
war,戦争,1
water,水、水を飲ませる,1
wave,波、揺れる・揺らす,1
way,道,1
week,週,1
white,白い、白,1
wide,広い、広く,1
wife,妻,1
wild,野生の、野生、野生的に,1
win,勝つ、勝利,1
wind,風、息切れさせる,1
window,窓,1
wine,ワイン,1
wing,翼、翼をつける,1
winter,冬、冬をすごす,1
wire,針金、電線を引く・電報を打つ,1
woman,女,1
wood,木材,1
wool,羊毛,1
word,単語、言葉にする,1
work,仕事をする・仕事させる、仕事,1
world,世界,1
yard,ヤード,1
year,年,1
yellow,黄色の、黄色、黄色くなる・黄色にする,1
yes,はい、はい,1
yesterday,昨日、昨日,1
you,あなた,1
young,若い、若者,1
